Command_x,Command_y,Target_x,Target_y
1779904182.5508988,299.8320980694,1779904182.5508988,0.
1779904182.650899,299.8320980694,1779904182.650899,0.
1779904182.7508988,299.8320980694,1779904182.7508988,0.
1779904182.850899,299.8320980694,1779904182.850899,0.
1779904182.950899,299.8320980694,1779904182.950899,0.
1779904183.0508988,299.8320980694,1779904183.0508988,0.
1779904183.150899,299.8320980694,1779904183.150899,0.
1779904183.2508988,299.8320980694,1779904183.2508988,0.
1779904183.350899,299.8320980694,1779904183.350899,0.
1779904183.450899,299.8320980694,1779904183.450899,0.
1779904183.5508988,299.8320980694,1779904183.5508988,0.
1779904183.650899,299.8320980694,1779904183.650899,0.
1779904183.7508988,299.8320980694,1779904183.7508988,0.
1779904183.850899,299.8320980694,1779904183.850899,0.
1779904183.950899,299.8320980694,1779904183.950899,0.
1779904184.0508988,299.8320980694,1779904184.0508988,0.
1779904184.150899,299.8320980694,1779904184.150899,0.
1779904184.2508988,299.8320980694,1779904184.2508988,0.
1779904184.350899,299.8320980694,1779904184.350899,0.
1779904184.450899,299.8320980694,1779904184.450899,0.
1779904184.5508988,299.8320980694,1779904184.5508988,0.
1779904184.650899,299.8320980694,1779904184.650899,0.
1779904184.7508988,299.8320980694,1779904184.7508988,0.
1779904184.850899,299.8320980694,1779904184.850899,0.
1779904184.950899,299.8320980694,1779904184.950899,0.
1779904185.0508988,299.8320980694,1779904185.0508988,0.
1779904185.150899,299.8320980694,1779904185.150899,0.
1779904185.2508988,299.8320980694,1779904185.2508988,0.
1779904185.350899,299.8320980694,1779904185.350899,0.
1779904185.450899,299.8320980694,1779904185.450899,0.
1779904185.5508988,299.8320980694,1779904185.5508988,0.
1779904185.650899,299.8320980694,1779904185.650899,0.
1779904185.7508988,299.8320980694,1779904185.7508988,0.
1779904185.850899,299.8320980694,1779904185.850899,0.
1779904185.950899,299.8320980694,1779904185.950899,0.
1779904186.0508988,299.8320980694,1779904186.0508988,0.
1779904186.150899,299.8320980694,1779904186.150899,0.
1779904186.2508988,299.8320980694,1779904186.2508988,0.
1779904186.350899,299.8320980694,1779904186.350899,0.
1779904186.450899,299.8320980694,1779904186.450899,0.
1779904186.5508988,299.8320980694,1779904186.5508988,0.
1779904186.650899,299.8320980694,1779904186.650899,0.
1779904186.7508988,299.8320980694,1779904186.7508988,0.
1779904186.850899,299.8320980694,1779904186.850899,0.
1779904186.950899,299.8320980694,1779904186.950899,0.
1779904187.0508988,299.8320980694,1779904187.0508988,0.
1779904187.150899,299.8320980694,1779904187.150899,0.
1779904187.2508988,299.8320980694,1779904187.2508988,0.
1779904187.350899,18.5266682905,1779904187.350899,207.3050305336
1779904187.450899,3.7053336581,1779904187.450899,193.3869549166
1779904187.5508988,47.5627722911,1779904187.5508988,164.0267261841
1779904187.650899,110.0658500142,1779904187.650899,121.7536049511
1779904187.7508988,110.0658500142,1779904187.7508988,200.
1779904187.850899,110.0658500142,1779904187.850899,200.
1779904187.950899,140.8205859142,1779904187.950899,200.
1779904188.0508988,255.1855612673,1779904188.0508988,200.
1779904188.150899,255.1855612673,1779904188.150899,200.
1779904188.2508988,255.1855612673,1779904188.2508988,200.
1779904188.350899,255.1855612673,1779904188.350899,200.
1779904188.450899,126.3514011347,1779904188.450899,200.
1779904188.5508988,171.2783511269,1779904188.5508988,200.
1779904188.650899,171.2783511269,1779904188.650899,200.
1779904188.7508988,171.2783511269,1779904188.7508988,0.
1779904188.850899,171.2783511269,1779904188.850899,0.
1779904188.950899,171.2783511269,1779904188.950899,0.
1779904189.0508988,171.2783511269,1779904189.0508988,0.
1779904189.150899,171.2783511269,1779904189.150899,0.
1779904189.2508988,171.2783511269,1779904189.2508988,0.
1779904189.350899,171.2783511269,1779904189.350899,0.
1779904189.450899,171.2783511269,1779904189.450899,0.
1779904189.5508988,171.2783511269,1779904189.5508988,0.
1779904189.650899,171.2783511269,1779904189.650899,0.
1779904189.7508988,171.2783511269,1779904189.7508988,0.
1779904189.850899,171.2783511269,1779904189.850899,0.
1779904189.950899,171.2783511269,1779904189.950899,0.
1779904190.0508988,171.2783511269,1779904190.0508988,0.
1779904190.150899,171.2783511269,1779904190.150899,0.
1779904190.2508988,171.2783511269,1779904190.2508988,0.
1779904190.350899,171.2783511269,1779904190.350899,0.
1779904190.450899,171.2783511269,1779904190.450899,0.
1779904190.5508988,171.2783511269,1779904190.5508988,0.
1779904190.650899,171.2783511269,1779904190.650899,0.
1779904190.7508988,171.2783511269,1779904190.7508988,0.
1779904190.850899,171.2783511269,1779904190.850899,0.
1779904190.950899,171.2783511269,1779904190.950899,0.
1779904191.0508988,171.2783511269,1779904191.0508988,0.
1779904191.150899,171.2783511269,1779904191.150899,0.
1779904191.2508988,171.2783511269,1779904191.2508988,0.
1779904191.350899,171.2783511269,1779904191.350899,0.
1779904191.450899,171.2783511269,1779904191.450899,0.
1779904191.5508988,171.2783511269,1779904191.5508988,0.
1779904191.650899,171.2783511269,1779904191.650899,0.
1779904191.7508988,171.2783511269,1779904191.7508988,0.
1779904191.850899,171.2783511269,1779904191.850899,0.
1779904191.950899,171.2783511269,1779904191.950899,0.
1779904192.0508988,0.,1779904192.0508988,200.
1779904192.150899,0.,1779904192.150899,200.
1779904192.2508988,0.,1779904192.2508988,200.
1779904192.350899,0.,1779904192.350899,200.
1779904192.450899,0.,1779904192.450899,200.
1779904192.5508988,0.,1779904192.5508988,200.
1779904192.650899,0.,1779904192.650899,200.
1779904192.7508988,0.,1779904192.7508988,200.
1779904192.850899,0.,1779904192.850899,200.
1779904192.950899,0.,1779904192.950899,200.
1779904193.0508988,0.,1779904193.0508988,200.
1779904193.150899,0.,1779904193.150899,200.
1779904193.2508988,0.,1779904193.2508988,200.
1779904193.350899,0.,1779904193.350899,200.
1779904193.450899,0.,1779904193.450899,200.
1779904193.5508988,0.,1779904193.5508988,200.
1779904193.650899,0.,1779904193.650899,200.
1779904193.7508988,0.,1779904193.7508988,200.
1779904193.850899,0.,1779904193.850899,200.
1779904193.950899,0.,1779904193.950899,200.
1779904194.0508988,0.,1779904194.0508988,200.
1779904194.150899,0.,1779904194.150899,200.
1779904194.2508988,0.,1779904194.2508988,200.
1779904194.350899,0.,1779904194.350899,200.
1779904194.450899,0.,1779904194.450899,200.
1779904194.5508988,0.,1779904194.5508988,200.
1779904194.650899,0.,1779904194.650899,200.
1779904194.7508988,0.,1779904194.7508988,200.
1779904194.850899,0.,1779904194.850899,200.
1779904194.950899,0.,1779904194.950899,200.
1779904195.0508988,0.,1779904195.0508988,200.
1779904195.150899,0.,1779904195.150899,200.
1779904195.2508988,0.,1779904195.2508988,200.
1779904195.350899,0.,1779904195.350899,200.
1779904195.450899,0.,1779904195.450899,200.
1779904195.5508988,0.,1779904195.5508988,200.
1779904195.650899,0.,1779904195.650899,200.
1779904195.7508988,0.,1779904195.7508988,200.
1779904195.850899,0.,1779904195.850899,200.
1779904195.950899,0.,1779904195.950899,200.
1779904196.0508988,0.,1779904196.0508988,200.
1779904196.150899,0.,1779904196.150899,200.
1779904196.2508988,0.,1779904196.2508988,200.
1779904196.350899,0.,1779904196.350899,200.
1779904196.450899,0.,1779904196.450899,200.
1779904196.5508988,0.,1779904196.5508988,200.
1779904196.650899,0.,1779904196.650899,200.
1779904196.7508988,0.,1779904196.7508988,200.
1779904196.850899,0.,1779904196.850899,200.
1779904196.950899,0.,1779904196.950899,200.
1779904197.0508988,0.,1779904197.0508988,200.
1779904197.150899,0.,1779904197.150899,200.
1779904197.2508988,0.,1779904197.2508988,200.
1779904197.350899,0.,1779904197.350899,200.
1779904197.450899,0.,1779904197.450899,200.
1779904197.5508988,0.,1779904197.5508988,200.
1779904197.650899,0.,1779904197.650899,200.
1779904197.7508988,0.,1779904197.7508988,200.
1779904197.850899,0.,1779904197.850899,200.
1779904197.950899,0.,1779904197.950899,200.
1779904198.0508988,0.,1779904198.0508988,200.
