Command_x,Command_y,Target_x,Target_y
1779988694.961026,134.1969778061,1779988694.961026,200.
1779988695.061026,121.8109635397,1779988695.061026,200.
1779988695.161026,164.1105238721,1779988695.161026,200.
1779988695.2610261,167.1653754798,1779988695.2610261,200.
1779988695.361026,184.2793629184,1779988695.361026,200.
1779988695.461026,153.3820999866,1779988695.461026,200.
1779988695.561026,170.7342037055,1779988695.561026,200.
1779988695.661026,155.1566060247,1779988695.661026,200.
1779988695.7610261,172.3423788616,1779988695.7610261,200.
1779988695.861026,131.9760699726,1779988695.861026,200.
1779988695.961026,171.4587772372,1779988695.961026,200.
1779988696.061026,172.5020307870,1779988696.061026,200.
1779988696.161026,149.8764739833,1779988696.161026,200.
1779988696.2610261,171.4973381706,1779988696.2610261,200.
1779988696.361026,183.6663647687,1779988696.361026,200.
1779988696.461026,180.1345294777,1779988696.461026,200.
1779988696.561026,177.6225890602,1779988696.561026,200.
1779988696.661026,171.5737718544,1779988696.661026,200.
1779988696.7610261,206.0328913211,1779988696.7610261,200.
1779988696.861026,186.5900995851,1779988696.861026,200.
1779988696.961026,180.8884220716,1779988696.961026,200.
1779988697.061026,194.2738335771,1779988697.061026,200.
1779988697.161026,209.1246054849,1779988697.161026,200.
1779988697.2610261,179.5620926657,1779988697.2610261,200.
1779988697.361026,202.8861078791,1779988697.361026,200.
1779988697.461026,202.2183190947,1779988697.461026,60.
1779988697.561026,185.3930854291,1779988697.561026,60.
1779988697.661026,179.6206703366,1779988697.661026,60.
1779988697.7610261,123.4288173679,1779988697.7610261,200.
1779988697.861026,115.1786315788,1779988697.861026,200.
1779988697.961026,171.7423874503,1779988697.961026,200.
1779988698.061026,134.7120924755,1779988698.061026,200.
1779988698.161026,167.7809240944,1779988698.161026,200.
1779988698.2610261,182.1404228385,1779988698.2610261,200.
1779988698.361026,200.3791548291,1779988698.361026,200.
1779988698.461026,201.6221415976,1779988698.461026,200.
1779988698.561026,132.4449804433,1779988698.561026,200.
1779988698.661026,147.5241678151,1779988698.661026,200.
1779988698.7610261,157.4191687769,1779988698.7610261,200.
1779988698.861026,154.4888444993,1779988698.861026,200.
1779988698.961026,156.2420824453,1779988698.961026,200.
1779988699.061026,172.7187643082,1779988699.061026,200.
1779988699.161026,175.4539363025,1779988699.161026,200.
1779988699.2610261,174.0101999671,1779988699.2610261,200.
1779988699.361026,157.0006906,1779988699.361026,200.
1779988699.461026,185.4520650681,1779988699.461026,200.
1779988699.561026,185.7529317052,1779988699.561026,200.
1779988699.661026,212.0187039624,1779988699.661026,200.
1779988699.7610261,247.1502127583,1779988699.7610261,200.
1779988699.861026,241.3623599356,1779988699.861026,200.
1779988699.961026,190.347496491,1779988699.961026,200.
1779988700.061026,178.1724774963,1779988700.061026,200.
1779988700.161026,171.7881191149,1779988700.161026,200.
1779988700.2610261,208.3963926127,1779988700.2610261,200.
1779988700.361026,230.4928731714,1779988700.361026,60.
1779988700.461026,182.5965877297,1779988700.461026,60.
1779988700.561026,147.7893937548,1779988700.561026,60.
1779988700.661026,125.5427135858,1779988700.661026,200.
1779988700.7610261,118.5343431175,1779988700.7610261,200.
1779988700.861026,182.1034346322,1779988700.861026,200.
1779988700.961026,160.7938370434,1779988700.961026,200.
1779988701.061026,145.2072117266,1779988701.061026,200.
1779988701.161026,175.1741945605,1779988701.161026,200.
1779988701.2610261,206.9778788104,1779988701.2610261,200.
1779988701.361026,129.1797313413,1779988701.361026,200.
1779988701.461026,163.4046225012,1779988701.461026,200.
1779988701.561026,156.471481336,1779988701.561026,200.
1779988701.661026,148.7467482726,1779988701.661026,200.
1779988701.7610261,167.9406669191,1779988701.7610261,200.
1779988701.861026,181.103809831,1779988701.861026,200.
1779988701.961026,199.0756529293,1779988701.961026,200.
1779988702.061026,166.9465669299,1779988702.061026,200.
1779988702.161026,159.4758597948,1779988702.161026,200.
1779988702.2610261,190.9252656220,1779988702.2610261,200.
1779988702.361026,162.3480233533,1779988702.361026,200.
1779988702.461026,201.1898640636,1779988702.461026,200.
1779988702.561026,195.1531256405,1779988702.561026,200.
1779988702.661026,227.6247549564,1779988702.661026,200.
1779988702.7610261,184.9505356571,1779988702.7610261,200.
1779988702.861026,197.5475585228,1779988702.861026,200.
1779988702.961026,193.9822570682,1779988702.961026,200.
1779988703.061026,204.8269942203,1779988703.061026,200.
1779988703.161026,224.0528704496,1779988703.161026,60.
1779988703.2610261,164.5743457146,1779988703.2610261,60.
1779988703.361026,144.9148114917,1779988703.361026,60.
1779988703.461026,148.9324708104,1779988703.461026,200.
1779988703.561026,125.8127889896,1779988703.561026,200.
1779988703.661026,155.7069379392,1779988703.661026,200.
1779988703.7610261,157.9316010896,1779988703.7610261,200.
1779988703.861026,149.5346691856,1779988703.861026,200.
1779988703.961026,147.0896271576,1779988703.961026,200.
1779988704.061026,137.0672770837,1779988704.061026,200.
1779988704.161026,154.0699133618,1779988704.161026,200.
1779988704.2610261,151.6580545544,1779988704.2610261,200.
1779988704.361026,149.0997551539,1779988704.361026,200.
1779988704.461026,156.8832260747,1779988704.461026,200.
1779988704.561026,159.5901854381,1779988704.561026,200.
1779988704.661026,153.3907396636,1779988704.661026,200.
1779988704.7610261,175.6907206899,1779988704.7610261,200.
1779988704.861026,178.4866747803,1779988704.861026,200.
1779988704.961026,153.7966865317,1779988704.961026,200.
1779988705.061026,173.0408584508,1779988705.061026,200.
1779988705.161026,177.0514603031,1779988705.161026,200.
1779988705.2610261,202.5898784348,1779988705.2610261,200.
1779988705.361026,181.8835194561,1779988705.361026,200.
1779988705.461026,198.1186617838,1779988705.461026,200.
1779988705.561026,175.5686235783,1779988705.561026,200.
1779988705.661026,205.8499173713,1779988705.661026,200.
1779988705.7610261,203.1414062746,1779988705.7610261,200.
1779988705.861026,206.1526292138,1779988705.861026,200.
1779988705.961026,186.5817800817,1779988705.961026,60.
1779988706.061026,189.1648541212,1779988706.061026,60.
1779988706.161026,150.2973765648,1779988706.161026,60.
1779988706.2610261,126.2081766529,1779988706.2610261,60.
1779988706.361026,116.4007355271,1779988706.361026,200.
1779988706.461026,120.7494871128,1779988706.461026,200.
1779988706.561026,109.5572666571,1779988706.561026,200.
