L_E_x,L_E_y,L_I_x,L_I_y,L_D_x,L_D_y,R_E_x,R_E_y,R_I_x,R_I_y,R_D_x,R_D_y,A_E_x,A_E_y,A_I_x,A_I_y,A_D_x,A_D_y
1778162098.873019,0.,1778162098.873019,0.,1778162098.873019,0.,1778162098.873019,0.,1778162098.873019,0.,1778162098.873019,0.,1778162098.873019,0.,1778162098.873019,0.,1778162098.873019,0.
1778162098.9730191,0.,1778162098.9730191,0.,1778162098.9730191,0.,1778162098.9730191,0.,1778162098.9730191,0.,1778162098.9730191,0.,1778162098.9730191,0.,1778162098.9730191,0.,1778162098.9730191,0.
1778162099.073019,0.,1778162099.073019,0.,1778162099.073019,0.,1778162099.073019,0.,1778162099.073019,0.,1778162099.073019,0.,1778162099.073019,0.,1778162099.073019,0.,1778162099.073019,0.
1778162099.1730192,0.,1778162099.1730192,0.,1778162099.1730192,0.,1778162099.1730192,0.,1778162099.1730192,0.,1778162099.1730192,0.,1778162099.1730192,0.,1778162099.1730192,0.,1778162099.1730192,0.
1778162099.273019,0.,1778162099.273019,0.,1778162099.273019,0.,1778162099.273019,0.,1778162099.273019,0.,1778162099.273019,0.,1778162099.273019,0.,1778162099.273019,0.,1778162099.273019,0.
1778162099.373019,0.,1778162099.373019,0.,1778162099.373019,0.,1778162099.373019,0.,1778162099.373019,0.,1778162099.373019,0.,1778162099.373019,0.,1778162099.373019,0.,1778162099.373019,0.
1778162099.4730191,0.,1778162099.4730191,0.,1778162099.4730191,0.,1778162099.4730191,0.,1778162099.4730191,0.,1778162099.4730191,0.,1778162099.4730191,0.,1778162099.4730191,0.,1778162099.4730191,0.
1778162099.573019,0.,1778162099.573019,0.,1778162099.573019,0.,1778162099.573019,0.,1778162099.573019,0.,1778162099.573019,0.,1778162099.573019,0.,1778162099.573019,0.,1778162099.573019,0.
1778162099.6730192,0.,1778162099.6730192,0.,1778162099.6730192,0.,1778162099.6730192,0.,1778162099.6730192,0.,1778162099.6730192,0.,1778162099.6730192,0.,1778162099.6730192,0.,1778162099.6730192,0.
1778162099.773019,0.,1778162099.773019,0.,1778162099.773019,0.,1778162099.773019,0.,1778162099.773019,0.,1778162099.773019,0.,1778162099.773019,0.,1778162099.773019,0.,1778162099.773019,0.
1778162099.873019,0.,1778162099.873019,0.,1778162099.873019,0.,1778162099.873019,0.,1778162099.873019,0.,1778162099.873019,0.,1778162099.873019,0.,1778162099.873019,0.,1778162099.873019,0.
1778162099.9730191,0.,1778162099.9730191,0.,1778162099.9730191,0.,1778162099.9730191,0.,1778162099.9730191,0.,1778162099.9730191,0.,1778162099.9730191,0.,1778162099.9730191,0.,1778162099.9730191,0.
1778162100.073019,0.,1778162100.073019,0.,1778162100.073019,0.,1778162100.073019,0.,1778162100.073019,0.,1778162100.073019,0.,1778162100.073019,0.,1778162100.073019,0.,1778162100.073019,0.
1778162100.1730192,0.,1778162100.1730192,0.,1778162100.1730192,0.,1778162100.1730192,0.,1778162100.1730192,0.,1778162100.1730192,0.,1778162100.1730192,0.,1778162100.1730192,0.,1778162100.1730192,0.
1778162100.273019,0.,1778162100.273019,0.,1778162100.273019,0.,1778162100.273019,0.,1778162100.273019,0.,1778162100.273019,0.,1778162100.273019,0.,1778162100.273019,0.,1778162100.273019,0.
1778162100.373019,0.,1778162100.373019,0.,1778162100.373019,0.,1778162100.373019,0.,1778162100.373019,0.,1778162100.373019,0.,1778162100.373019,0.,1778162100.373019,0.,1778162100.373019,0.
1778162100.4730191,0.,1778162100.4730191,0.,1778162100.4730191,0.,1778162100.4730191,0.,1778162100.4730191,0.,1778162100.4730191,0.,1778162100.4730191,0.,1778162100.4730191,0.,1778162100.4730191,0.
1778162100.573019,0.,1778162100.573019,0.,1778162100.573019,0.,1778162100.573019,0.,1778162100.573019,0.,1778162100.573019,0.,1778162100.573019,0.,1778162100.573019,0.,1778162100.573019,0.
1778162100.6730192,0.,1778162100.6730192,0.,1778162100.6730192,0.,1778162100.6730192,0.,1778162100.6730192,0.,1778162100.6730192,0.,1778162100.6730192,0.,1778162100.6730192,0.,1778162100.6730192,0.
1778162100.773019,0.,1778162100.773019,0.,1778162100.773019,0.,1778162100.773019,0.,1778162100.773019,0.,1778162100.773019,0.,1778162100.773019,0.,1778162100.773019,0.,1778162100.773019,0.
1778162100.873019,0.,1778162100.873019,0.,1778162100.873019,0.,1778162100.873019,0.,1778162100.873019,0.,1778162100.873019,0.,1778162100.873019,0.,1778162100.873019,0.,1778162100.873019,0.
1778162100.9730191,0.,1778162100.9730191,0.,1778162100.9730191,0.,1778162100.9730191,0.,1778162100.9730191,0.,1778162100.9730191,0.,1778162100.9730191,0.,1778162100.9730191,0.,1778162100.9730191,0.
1778162101.073019,0.,1778162101.073019,0.,1778162101.073019,0.,1778162101.073019,0.,1778162101.073019,0.,1778162101.073019,0.,1778162101.073019,0.,1778162101.073019,0.,1778162101.073019,0.
1778162101.1730192,0.,1778162101.1730192,0.,1778162101.1730192,0.,1778162101.1730192,0.,1778162101.1730192,0.,1778162101.1730192,0.,1778162101.1730192,0.,1778162101.1730192,0.,1778162101.1730192,0.
1778162101.273019,0.,1778162101.273019,0.,1778162101.273019,0.,1778162101.273019,0.,1778162101.273019,0.,1778162101.273019,0.,1778162101.273019,0.,1778162101.273019,0.,1778162101.273019,0.
1778162101.373019,0.,1778162101.373019,0.,1778162101.373019,0.,1778162101.373019,0.,1778162101.373019,0.,1778162101.373019,0.,1778162101.373019,0.,1778162101.373019,0.,1778162101.373019,0.
1778162101.4730191,0.,1778162101.4730191,0.,1778162101.4730191,0.,1778162101.4730191,0.,1778162101.4730191,0.,1778162101.4730191,0.,1778162101.4730191,0.,1778162101.4730191,0.,1778162101.4730191,0.
1778162101.573019,0.,1778162101.573019,0.,1778162101.573019,0.,1778162101.573019,0.,1778162101.573019,0.,1778162101.573019,0.,1778162101.573019,0.,1778162101.573019,0.,1778162101.573019,0.
1778162101.6730192,0.,1778162101.6730192,0.,1778162101.6730192,0.,1778162101.6730192,0.,1778162101.6730192,0.,1778162101.6730192,0.,1778162101.6730192,0.,1778162101.6730192,0.,1778162101.6730192,0.
1778162101.773019,0.,1778162101.773019,0.,1778162101.773019,0.,1778162101.773019,0.,1778162101.773019,0.,1778162101.773019,0.,1778162101.773019,0.,1778162101.773019,0.,1778162101.773019,0.
1778162101.873019,0.,1778162101.873019,0.,1778162101.873019,0.,1778162101.873019,0.,1778162101.873019,0.,1778162101.873019,0.,1778162101.873019,0.,1778162101.873019,0.,1778162101.873019,0.
1778162101.9730191,0.,1778162101.9730191,0.,1778162101.9730191,0.,1778162101.9730191,0.,1778162101.9730191,0.,1778162101.9730191,0.,1778162101.9730191,0.,1778162101.9730191,0.,1778162101.9730191,0.
1778162102.073019,0.,1778162102.073019,0.,1778162102.073019,0.,1778162102.073019,0.,1778162102.073019,0.,1778162102.073019,0.,1778162102.073019,0.,1778162102.073019,0.,1778162102.073019,0.
1778162102.1730192,0.,1778162102.1730192,0.,1778162102.1730192,0.,1778162102.1730192,0.,1778162102.1730192,0.,1778162102.1730192,0.,1778162102.1730192,0.,1778162102.1730192,0.,1778162102.1730192,0.
1778162102.273019,0.,1778162102.273019,0.,1778162102.273019,0.,1778162102.273019,0.,1778162102.273019,0.,1778162102.273019,0.,1778162102.273019,0.,1778162102.273019,0.,1778162102.273019,0.
1778162102.373019,0.,1778162102.373019,0.,1778162102.373019,0.,1778162102.373019,0.,1778162102.373019,0.,1778162102.373019,0.,1778162102.373019,0.,1778162102.373019,0.,1778162102.373019,0.
1778162102.4730191,0.,1778162102.4730191,0.,1778162102.4730191,0.,1778162102.4730191,0.,1778162102.4730191,0.,1778162102.4730191,0.,1778162102.4730191,0.,1778162102.4730191,0.,1778162102.4730191,0.
1778162102.573019,0.,1778162102.573019,0.,1778162102.573019,0.,1778162102.573019,0.,1778162102.573019,0.,1778162102.573019,0.,1778162102.573019,0.,1778162102.573019,0.,1778162102.573019,0.
1778162102.6730192,0.,1778162102.6730192,0.,1778162102.6730192,0.,1778162102.6730192,0.,1778162102.6730192,0.,1778162102.6730192,0.,1778162102.6730192,0.,1778162102.6730192,0.,1778162102.6730192,0.
1778162102.773019,0.,1778162102.773019,0.,1778162102.773019,0.,1778162102.773019,0.,1778162102.773019,0.,1778162102.773019,0.,1778162102.773019,0.,1778162102.773019,0.,1778162102.773019,0.
1778162102.873019,0.,1778162102.873019,0.,1778162102.873019,0.,1778162102.873019,0.,1778162102.873019,0.,1778162102.873019,0.,1778162102.873019,0.,1778162102.873019,0.,1778162102.873019,0.
1778162102.9730191,0.,1778162102.9730191,0.,1778162102.9730191,0.,1778162102.9730191,0.,1778162102.9730191,0.,1778162102.9730191,0.,1778162102.9730191,0.,1778162102.9730191,0.,1778162102.9730191,0.
1778162103.073019,0.,1778162103.073019,0.,1778162103.073019,0.,1778162103.073019,0.,1778162103.073019,0.,1778162103.073019,0.,1778162103.073019,0.,1778162103.073019,0.,1778162103.073019,0.
1778162103.1730192,0.,1778162103.1730192,0.,1778162103.1730192,0.,1778162103.1730192,0.,1778162103.1730192,0.,1778162103.1730192,0.,1778162103.1730192,0.,1778162103.1730192,0.,1778162103.1730192,0.
1778162103.273019,0.,1778162103.273019,0.,1778162103.273019,0.,1778162103.273019,0.,1778162103.273019,0.,1778162103.273019,0.,1778162103.273019,0.,1778162103.273019,0.,1778162103.273019,0.
1778162103.373019,0.,1778162103.373019,0.,1778162103.373019,0.,1778162103.373019,0.,1778162103.373019,0.,1778162103.373019,0.,1778162103.373019,0.,1778162103.373019,0.,1778162103.373019,0.
1778162103.4730191,0.,1778162103.4730191,0.,1778162103.4730191,0.,1778162103.4730191,0.,1778162103.4730191,0.,1778162103.4730191,0.,1778162103.4730191,0.,1778162103.4730191,0.,1778162103.4730191,0.
1778162103.573019,0.,1778162103.573019,0.,1778162103.573019,0.,1778162103.573019,0.,1778162103.573019,0.,1778162103.573019,0.,1778162103.573019,0.,1778162103.573019,0.,1778162103.573019,0.
1778162103.6730192,0.,1778162103.6730192,0.,1778162103.6730192,0.,1778162103.6730192,0.,1778162103.6730192,0.,1778162103.6730192,0.,1778162103.6730192,0.,1778162103.6730192,0.,1778162103.6730192,0.
1778162103.773019,0.,1778162103.773019,0.,1778162103.773019,0.,1778162103.773019,0.,1778162103.773019,0.,1778162103.773019,0.,1778162103.773019,0.,1778162103.773019,0.,1778162103.773019,0.
1778162103.873019,0.,1778162103.873019,0.,1778162103.873019,0.,1778162103.873019,0.,1778162103.873019,0.,1778162103.873019,0.,1778162103.873019,0.,1778162103.873019,0.,1778162103.873019,0.
1778162103.9730191,0.,1778162103.9730191,0.,1778162103.9730191,0.,1778162103.9730191,0.,1778162103.9730191,0.,1778162103.9730191,0.,1778162103.9730191,0.,1778162103.9730191,0.,1778162103.9730191,0.
1778162104.073019,0.,1778162104.073019,0.,1778162104.073019,0.,1778162104.073019,0.,1778162104.073019,0.,1778162104.073019,0.,1778162104.073019,0.,1778162104.073019,0.,1778162104.073019,0.
1778162104.1730192,0.,1778162104.1730192,0.,1778162104.1730192,0.,1778162104.1730192,0.,1778162104.1730192,0.,1778162104.1730192,0.,1778162104.1730192,0.,1778162104.1730192,0.,1778162104.1730192,0.
1778162104.273019,0.,1778162104.273019,0.,1778162104.273019,0.,1778162104.273019,0.,1778162104.273019,0.,1778162104.273019,0.,1778162104.273019,0.,1778162104.273019,0.,1778162104.273019,0.
1778162104.373019,0.,1778162104.373019,0.,1778162104.373019,0.,1778162104.373019,0.,1778162104.373019,0.,1778162104.373019,0.,1778162104.373019,0.,1778162104.373019,0.,1778162104.373019,0.
1778162104.4730191,0.,1778162104.4730191,0.,1778162104.4730191,0.,1778162104.4730191,0.,1778162104.4730191,0.,1778162104.4730191,0.,1778162104.4730191,0.,1778162104.4730191,0.,1778162104.4730191,0.
1778162104.573019,0.,1778162104.573019,0.,1778162104.573019,0.,1778162104.573019,0.,1778162104.573019,0.,1778162104.573019,0.,1778162104.573019,0.,1778162104.573019,0.,1778162104.573019,0.
1778162104.6730192,0.,1778162104.6730192,0.,1778162104.6730192,0.,1778162104.6730192,0.,1778162104.6730192,0.,1778162104.6730192,0.,1778162104.6730192,0.,1778162104.6730192,0.,1778162104.6730192,0.
1778162104.773019,0.,1778162104.773019,0.,1778162104.773019,0.,1778162104.773019,0.,1778162104.773019,0.,1778162104.773019,0.,1778162104.773019,0.,1778162104.773019,0.,1778162104.773019,0.
1778162104.873019,0.,1778162104.873019,0.,1778162104.873019,0.,1778162104.873019,0.,1778162104.873019,0.,1778162104.873019,0.,1778162104.873019,0.,1778162104.873019,0.,1778162104.873019,0.
1778162104.9730191,0.,1778162104.9730191,0.,1778162104.9730191,0.,1778162104.9730191,0.,1778162104.9730191,0.,1778162104.9730191,0.,1778162104.9730191,0.,1778162104.9730191,0.,1778162104.9730191,0.
1778162105.073019,0.,1778162105.073019,0.,1778162105.073019,0.,1778162105.073019,0.,1778162105.073019,0.,1778162105.073019,0.,1778162105.073019,0.,1778162105.073019,0.,1778162105.073019,0.
1778162105.1730192,0.,1778162105.1730192,0.,1778162105.1730192,0.,1778162105.1730192,0.,1778162105.1730192,0.,1778162105.1730192,0.,1778162105.1730192,0.,1778162105.1730192,0.,1778162105.1730192,0.
1778162105.273019,0.,1778162105.273019,0.,1778162105.273019,0.,1778162105.273019,0.,1778162105.273019,0.,1778162105.273019,0.,1778162105.273019,0.,1778162105.273019,0.,1778162105.273019,0.
1778162105.373019,0.,1778162105.373019,0.,1778162105.373019,0.,1778162105.373019,0.,1778162105.373019,0.,1778162105.373019,0.,1778162105.373019,0.,1778162105.373019,0.,1778162105.373019,0.
1778162105.4730191,0.,1778162105.4730191,0.,1778162105.4730191,0.,1778162105.4730191,0.,1778162105.4730191,0.,1778162105.4730191,0.,1778162105.4730191,0.,1778162105.4730191,0.,1778162105.4730191,0.
1778162105.573019,0.,1778162105.573019,0.,1778162105.573019,0.,1778162105.573019,0.,1778162105.573019,0.,1778162105.573019,0.,1778162105.573019,0.,1778162105.573019,0.,1778162105.573019,0.
1778162105.6730192,0.,1778162105.6730192,0.,1778162105.6730192,0.,1778162105.6730192,0.,1778162105.6730192,0.,1778162105.6730192,0.,1778162105.6730192,0.,1778162105.6730192,0.,1778162105.6730192,0.
1778162105.773019,0.,1778162105.773019,0.,1778162105.773019,0.,1778162105.773019,0.,1778162105.773019,0.,1778162105.773019,0.,1778162105.773019,0.,1778162105.773019,0.,1778162105.773019,0.
1778162105.873019,0.,1778162105.873019,0.,1778162105.873019,0.,1778162105.873019,0.,1778162105.873019,0.,1778162105.873019,0.,1778162105.873019,0.,1778162105.873019,0.,1778162105.873019,0.
1778162105.9730191,0.,1778162105.9730191,0.,1778162105.9730191,0.,1778162105.9730191,0.,1778162105.9730191,0.,1778162105.9730191,0.,1778162105.9730191,0.,1778162105.9730191,0.,1778162105.9730191,0.
1778162106.073019,0.,1778162106.073019,0.,1778162106.073019,0.,1778162106.073019,0.,1778162106.073019,0.,1778162106.073019,0.,1778162106.073019,0.,1778162106.073019,0.,1778162106.073019,0.
